,Methanobacteriaceae,Dysgonomonadaceae,uncultured,UnclassifiedFamily,Aminicenantales,Rikenellaceae,Spirochaetaceae,JS1,Lentimicrobiaceae,Cloacimonadaceae,Smithellaceae,SAR324_clade(Marine_group_B),Syntrophobacteraceae,Anaerolineaceae,Gracilibacteraceae,Bacteroidetes_vadinHA17,Syntrophorhabdaceae,Synergistaceae,Prolixibacteraceae,Methanosaetaceae,Christensenellaceae,Methanoregulaceae,Geobacteraceae,SBR1031,Pedosphaeraceae,Calditrichaceae,Kosmotogaceae
Methanobacteriaceae,0.0,0.0,0.0,0.3383797,0.0,0.25260502,0.0,0.0,0.0,0.38242087,0.0,0.33024007,0.32243693,0.0,0.3001969,0.38210773,0.0,0.0,0.35361472,0.36928934,0.0,0.0,0.35893542,0.0,0.40318847,0.0,0.0
Dysgonomonadaceae,0.0,0.0,0.40679735,0.35853052,0.35244527,0.0,0.0,0.0,0.0,0.0,0.0,0.35019246,0.0,0.0,0.0,0.0,0.39385778,0.38550314,0.0,0.36567533,0.406388,0.0,0.0,0.0,0.0,0.38809845,0.34606233
uncultured,0.0,0.40679735,0.0,0.32272482,0.0,0.0,0.0,0.35801256,0.0,0.295336,0.0,0.0,0.0,0.0,0.0,0.0,0.29704857,0.3804232,0.2973744,0.0,0.338874,0.3456609,0.0,0.0,0.236651,0.32474342,0.0
UnclassifiedFamily,0.3383797,0.35853052,0.32272482,0.0,0.3816898,0.38237202,0.38377154,0.0,0.0,0.37610906,0.0,0.0,0.0,0.34258693,0.30591753,0.0,0.0,0.3620355,0.0,0.0,0.35572273,0.0,0.0,0.33115432,0.0,0.386646,0.0
Aminicenantales,0.0,0.35244527,0.0,0.3816898,0.0,0.33034372,0.36345255,0.0,0.0,0.0,0.0,0.0,0.0,0.31255648,0.0,0.0,0.4053552,0.30121383,0.0,0.0,0.35857743,0.30280367,0.0,0.0,0.0,0.0,0.35500515
Rikenellaceae,0.25260502,0.0,0.0,0.38237202,0.33034372,0.0,0.0,0.0,0.0,0.3942447,0.0,0.0,0.31804672,0.0,0.34347913,0.0,0.0,0.3803727,0.34043115,0.0,0.35970506,0.0,0.24063563,0.0,0.0,0.0,0.0
Spirochaetaceae,0.0,0.0,0.0,0.38377154,0.36345255,0.0,0.0,0.0,0.0,0.25922784,0.0,0.0,0.0,0.31679058,0.0,0.27494025,0.35996157,0.0,0.4055583,0.0,0.39135987,0.0,0.0,0.4021563,0.0,0.0,0.32242218
JS1,0.0,0.0,0.35801256,0.0,0.0,0.0,0.0,0.0,0.39583647,0.31217152,0.40461656,0.40582296,0.26544327,0.0,0.0,0.28298092,0.36534938,0.0,0.37493813,0.37389854,0.0,0.3888016,0.28340188,0.0,0.30807793,0.0,0.32013598
Lentimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39583647,0.0,0.3788629,0.36755332,0.0,0.0,0.0,0.0,0.0,0.29508644,0.36552787,0.39984065,0.0,0.3952279,0.0,0.32531124,0.3871222,0.3303158,0.27212584,0.0
Cloacimonadaceae,0.38242087,0.0,0.295336,0.37610906,0.0,0.3942447,0.25922784,0.31217152,0.3788629,0.0,0.2593594,0.23393746,0.3862307,0.34999952,0.38315725,0.27755365,0.33371994,0.27769098,0.298833,0.26681224,0.36175036,0.2985418,0.0,0.40343228,0.39222762,0.36995178,0.38985938
Smithellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40461656,0.36755332,0.2593594,0.0,0.377488,0.32729766,0.0,0.0,0.2942419,0.36176756,0.0,0.34885675,0.399272,0.0,0.2447587,0.36084446,0.0,0.39112112,0.0,0.33014125
SAR324_clade(Marine_group_B),0.33024007,0.35019246,0.0,0.0,0.0,0.0,0.0,0.40582296,0.0,0.23393746,0.377488,0.0,0.31270638,0.0,0.0,0.32405588,0.34118652,0.0,0.0,0.34874487,0.0,0.0,0.3997403,0.0,0.0,0.0,0.25860286
Syntrophobacteraceae,0.32243693,0.0,0.0,0.0,0.0,0.31804672,0.0,0.26544327,0.0,0.3862307,0.32729766,0.31270638,0.0,0.40461504,0.3508354,0.0,0.3033328,0.0,0.0,0.40396953,0.0,0.3912421,0.3947693,0.0,0.0,0.0,0.0
Anaerolineaceae,0.0,0.0,0.0,0.34258693,0.31255648,0.0,0.31679058,0.0,0.0,0.34999952,0.0,0.0,0.40461504,0.0,0.0,0.3556483,0.0,0.0,0.0,0.0,0.3415997,0.0,0.0,0.3909898,0.31724855,0.28186634,0.34778067
Gracilibacteraceae,0.3001969,0.0,0.0,0.30591753,0.0,0.34347913,0.0,0.0,0.0,0.38315725,0.0,0.0,0.3508354,0.0,0.0,0.33863193,0.0,0.0,0.33303028,0.0,0.38797107,0.0,0.25414705,0.35700077,0.0,0.0,0.0
Bacteroidetes_vadinHA17,0.38210773,0.0,0.0,0.0,0.0,0.0,0.27494025,0.28298092,0.0,0.27755365,0.2942419,0.32405588,0.0,0.3556483,0.33863193,0.0,0.40591937,0.0,0.0,0.2678692,0.0,0.0,0.3686983,0.3245523,0.0,0.0,0.3237486
Syntrophorhabdaceae,0.0,0.39385778,0.29704857,0.0,0.4053552,0.0,0.35996157,0.36534938,0.29508644,0.33371994,0.36176756,0.34118652,0.3033328,0.0,0.0,0.40591937,0.0,0.2407026,0.33732885,0.0,0.24696189,0.3638783,0.0,0.0,0.0,0.0,0.30585548
Synergistaceae,0.0,0.38550314,0.3804232,0.3620355,0.30121383,0.3803727,0.0,0.0,0.36552787,0.27769098,0.0,0.0,0.0,0.0,0.0,0.0,0.2407026,0.0,0.0,0.0,0.35859376,0.0,0.0,0.0,0.0,0.2767944,0.0
Prolixibacteraceae,0.35361472,0.0,0.2973744,0.0,0.0,0.34043115,0.4055583,0.37493813,0.39984065,0.298833,0.34885675,0.0,0.0,0.0,0.33303028,0.0,0.33732885,0.0,0.0,0.0,0.30605265,0.36837652,0.0,0.39641276,0.36786976,0.0,0.0
Methanosaetaceae,0.36928934,0.36567533,0.0,0.0,0.0,0.0,0.0,0.37389854,0.0,0.26681224,0.399272,0.34874487,0.40396953,0.0,0.0,0.2678692,0.0,0.0,0.0,0.0,0.0,0.3672414,0.40092373,0.0,0.0,0.0,0.0
Christensenellaceae,0.0,0.406388,0.338874,0.35572273,0.35857743,0.35970506,0.39135987,0.0,0.3952279,0.36175036,0.0,0.0,0.0,0.3415997,0.38797107,0.0,0.24696189,0.35859376,0.30605265,0.0,0.0,0.0,0.0,0.40044022,0.40395543,0.40686154,0.31681877
Methanoregulaceae,0.0,0.0,0.3456609,0.0,0.30280367,0.0,0.0,0.3888016,0.0,0.2985418,0.2447587,0.0,0.3912421,0.0,0.0,0.0,0.3638783,0.0,0.36837652,0.3672414,0.0,0.0,0.0,0.0,0.40257797,0.0,0.0
Geobacteraceae,0.35893542,0.0,0.0,0.0,0.0,0.24063563,0.0,0.28340188,0.32531124,0.0,0.36084446,0.3997403,0.3947693,0.0,0.25414705,0.3686983,0.0,0.0,0.0,0.40092373,0.0,0.0,0.0,0.0,0.0,0.2608149,0.0
