,Methanobacteriaceae,Dysgonomonadaceae,uncultured,UnclassifiedFamily,Aminicenantales,Rikenellaceae,Spirochaetaceae,JS1,Lentimicrobiaceae,Cloacimonadaceae,Smithellaceae,SAR324_clade(Marine_group_B),Syntrophobacteraceae,Anaerolineaceae,Gracilibacteraceae,Bacteroidetes_vadinHA17,Syntrophorhabdaceae,Synergistaceae,Prolixibacteraceae,Methanosaetaceae,Christensenellaceae,Methanoregulaceae,Geobacteraceae,SBR1031,Pedosphaeraceae,Calditrichaceae,Kosmotogaceae
Methanobacteriaceae,0.0,0.0,0.0,0.2719809,0.0,0.27618125,0.0,0.0,0.0,0.21678239,0.0,0.29821616,0.25746217,0.0,0.3048823,0.21849589,0.0,0.0,0.19902733,0.29480705,0.0,0.0,0.28380066,0.0,0.2588615,0.0,0.0
Dysgonomonadaceae,0.0,0.0,0.3004422,0.1916119,0.30112156,0.0,0.0,0.0,0.0,0.0,0.0,0.25379944,0.0,0.0,0.0,0.0,0.30605903,0.19308686,0.0,0.18956713,0.29201066,0.0,0.0,0.0,0.0,0.19878064,0.29919776
uncultured,0.0,0.3004422,0.0,0.2727145,0.0,0.0,0.0,0.24104796,0.0,0.17279744,0.0,0.0,0.0,0.0,0.0,0.0,0.30457014,0.30498576,0.29352972,0.0,0.20205526,0.30374944,0.0,0.0,0.24052407,0.20610724,0.0
UnclassifiedFamily,0.2719809,0.1916119,0.2727145,0.0,0.2598357,0.27152428,0.30333093,0.0,0.0,0.30504367,0.0,0.0,0.0,0.22554782,0.27953535,0.0,0.0,0.2986416,0.0,0.0,0.29380602,0.0,0.0,0.23173222,0.0,0.27990332,0.0
Aminicenantales,0.0,0.30112156,0.0,0.2598357,0.0,0.23549005,0.30071372,0.0,0.0,0.0,0.0,0.0,0.0,0.295453,0.0,0.0,0.23955469,0.3045811,0.0,0.0,0.2971313,0.21759439,0.0,0.0,0.0,0.0,0.2592137
Rikenellaceae,0.27618125,0.0,0.0,0.27152428,0.23549005,0.0,0.0,0.0,0.0,0.24930558,0.0,0.0,0.18233813,0.0,0.22984245,0.0,0.0,0.21137622,0.27041417,0.0,0.26590812,0.0,0.27911538,0.0,0.0,0.0,0.0
Spirochaetaceae,0.0,0.0,0.0,0.30333093,0.30071372,0.0,0.0,0.0,0.0,0.21056052,0.0,0.0,0.0,0.29705995,0.0,0.27022773,0.3077295,0.0,0.24257201,0.0,0.2897987,0.0,0.0,0.28644928,0.0,0.0,0.2969207
JS1,0.0,0.0,0.24104796,0.0,0.0,0.0,0.0,0.0,0.2509103,0.18910393,0.2380031,0.25841948,0.2950578,0.0,0.0,0.28129673,0.2697557,0.0,0.24379899,0.28339386,0.0,0.27707356,0.20764214,0.0,0.22141168,0.0,0.28989208
Lentimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2509103,0.0,0.23198286,0.19948226,0.0,0.0,0.0,0.0,0.0,0.2896546,0.26260278,0.2780431,0.0,0.3057573,0.0,0.29388,0.22015016,0.22242367,0.2724464,0.0
Cloacimonadaceae,0.21678239,0.0,0.17279744,0.30504367,0.0,0.24930558,0.21056052,0.18910393,0.23198286,0.0,0.29870215,0.24659687,0.28798705,0.27312785,0.2899605,0.28717315,0.308102,0.20004144,0.23077747,0.29850417,0.3063524,0.29555005,0.0,0.2503504,0.20234999,0.2373928,0.27561522
